GEOID,Geography,TotalPrison,BlackTotalPrison,NativeAmericanTotalPrison,AsianTotalPrison,NativeHawaiianTotalPrison,Other1TotalPrison,TwoRacesTotalPrison,LatinoTotalPrison,WhiteTotalPrison,Total,BlackTotal,NativeAmericanTotal,AsianTotal,NativeHawaiianTotal,Other1Total,TwoRacesTotal,LatinoTotal,WhiteTotal,Rate,BlackRate,NativeAmericanRate,AsianRate,NativeHawaiianRate,Other1Rate,TwoRacesRate,LatinoRate,WhiteRate,OtherTotalPrison,OtherTotal,OtherRate
US,United States,"2,263,602","897,875","37,854","16,928","5,494","142,908","22,794","419,509","885,956","308,745,538","38,929,319","2,932,248","14,674,252","540,013","19,107,368","9,009,073","50,477,594","196,817,552",733,"2,306","1,291",115,"1,017",748,253,831,450,209050,31588702,662
AL,Alabama,"41,177","22,377",80,57,3,283,290,"1,423","17,154","4,779,736","1,251,311","28,218","53,595","3,057","96,910","71,251","185,602","3,204,402",861,"1,788",284,106,98,292,407,767,535,656,199436,329
AK,Alaska,"4,206",301,"1,579",44,49,31,390,255,"1,684","710,231","23,263","104,871","38,135","7,409","11,102","51,875","39,249","455,320",592,"1,294","1,506",115,661,279,752,650,370,2049,175257,1169
AZ,Arizona,"67,767","8,246","6,723","1,136","1,029","12,876","1,597","27,534","23,407","6,392,017","259,008","296,529","176,695","12,648","761,716","218,300","1,895,149","3,695,647","1,060","3,184","2,267",643,"8,136","1,690",732,"1,453",633,22225,1289193,1724
AR,Arkansas,"25,844","10,943",167,115,10,553,212,"1,703","12,886","2,915,918","449,895","22,248","36,102","5,863","99,571","57,010","186,050","2,173,469",886,"2,432",751,319,171,555,372,915,593,942,184692,510
CA,California,"256,807","69,806","3,615","4,590",892,"44,467","3,427","106,039","67,819","37,253,956","2,299,072","362,801","4,861,007","144,386","6,317,372","1,815,384","14,013,719","14,956,253",689,"3,036",996,94,618,704,189,757,453,52401,8639943,606
CO,Colorado,"40,568","7,365","1,646",383,49,"1,830",622,"13,296","17,936","5,029,196","201,737","56,010","139,028","6,623","364,140","172,456","1,038,687","3,520,793",807,"3,651","2,939",275,740,503,361,"1,280",509,4147,599229,692
CT,Connecticut,"20,059","8,187",86,125,49,"4,249",255,"5,726","6,141","3,574,097","362,296","11,256","135,565","1,428","198,466","92,676","479,087","2,546,262",561,"2,260",764,92,"3,431","2,141",275,"1,195",241,4639,303826,1527
DE,Delaware,"6,457","3,840",6,8,4,46,24,183,"2,431","897,934","191,814","4,181","28,549",400,"30,519","23,854","73,221","586,752",719,"2,002",144,28,"1,000",151,101,250,414,80,58954,136
DC,District of Columbia,"3,598","3,146",21,23,1,99,104,288,105,"601,723","305,125","2,079","21,056",302,"24,374","17,316","54,749","209,464",598,"1,031","1,010",109,331,406,601,526,50,225,44071,511
FL,Florida,"167,453","76,640",422,449,36,"2,408","1,321","22,640","68,141","18,801,310","2,999,862","71,458","454,821","12,286","681,144","472,577","4,223,806","10,884,722",891,"2,555",591,99,293,354,280,536,626,4187,1237465,338
GA,Georgia,"104,012","60,078",187,379,41,"3,144",749,"9,382","34,631","9,687,653","2,950,435","32,151","314,467","6,799","388,872","207,489","853,689","5,413,920","1,074","2,036",582,121,603,808,361,"1,099",640,4121,635311,649
